valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,type,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2013-M01,month,CHFL,CHFL,all,agegroup_food,all,all,87,8176573,1.06,87,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M02,month,CHFL,CHFL,all,agegroup_food,all,all,76,8176573,0.93,163,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M03,month,CHFL,CHFL,all,agegroup_food,all,all,63,8176573,0.77,226,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M04,month,CHFL,CHFL,all,agegroup_food,all,all,92,8176573,1.13,318,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M05,month,CHFL,CHFL,all,agegroup_food,all,all,88,8176573,1.08,406,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M06,month,CHFL,CHFL,all,agegroup_food,all,all,87,8176573,1.06,493,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M07,month,CHFL,CHFL,all,agegroup_food,all,all,91,8176573,1.11,584,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M08,month,CHFL,CHFL,all,agegroup_food,all,all,217,8176573,2.65,801,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2013-M09,month,CHFL,CHFL,all,agegroup_food,all,all,133,8176573,1.63,934,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M10,month,CHFL,CHFL,all,agegroup_food,all,all,151,8176573,1.85,1085,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M11,month,CHFL,CHFL,all,agegroup_food,all,all,123,8176573,1.5,1208,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2013-M12,month,CHFL,CHFL,all,agegroup_food,all,all,63,8176573,0.77,1271,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2014-M01,month,CHFL,CHFL,all,agegroup_food,all,all,96,8274608,1.16,96,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2014-M02,month,CHFL,CHFL,all,agegroup_food,all,all,48,8274608,0.58,144,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2014-M03,month,CHFL,CHFL,all,agegroup_food,all,all,70,8274608,0.85,214,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M04,month,CHFL,CHFL,all,agegroup_food,all,all,80,8274608,0.97,294,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M05,month,CHFL,CHFL,all,agegroup_food,all,all,91,8274608,1.1,385,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2014-M06,month,CHFL,CHFL,all,agegroup_food,all,all,85,8274608,1.03,470,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M07,month,CHFL,CHFL,all,agegroup_food,all,all,125,8274608,1.51,595,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2014-M08,month,CHFL,CHFL,all,agegroup_food,all,all,211,8274608,2.55,806,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2014-M09,month,CHFL,CHFL,all,agegroup_food,all,all,133,8274608,1.61,939,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M10,month,CHFL,CHFL,all,agegroup_food,all,all,141,8274608,1.7,1080,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M11,month,CHFL,CHFL,all,agegroup_food,all,all,96,8274608,1.16,1176,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2014-M12,month,CHFL,CHFL,all,agegroup_food,all,all,64,8274608,0.77,1240,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2015-M01,month,CHFL,CHFL,all,agegroup_food,all,all,71,8362816,0.85,71,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2015-M02,month,CHFL,CHFL,all,agegroup_food,all,all,46,8362816,0.55,117,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2015-M03,month,CHFL,CHFL,all,agegroup_food,all,all,65,8362816,0.78,182,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M04,month,CHFL,CHFL,all,agegroup_food,all,all,85,8362816,1.02,267,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M05,month,CHFL,CHFL,all,agegroup_food,all,all,80,8362816,0.96,347,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2015-M06,month,CHFL,CHFL,all,agegroup_food,all,all,85,8362816,1.02,432,NA,stagnant,NA,NA,NA,NA,NA,TRUE
